name,headline,languages,location,rating_fide,rating_bullet,rating_blitz,rating_rapid,rate,about,playing_experience,teaching_experience,other_experience,best_skills,teaching_methodology,titles
CM Владимир Михайловский,None,['русский язык'],None,2215.0,2931,2714,2554,None,"Всем привет, мне 24 года, я Российский КМС и CM (Candidate Master), актуальные рейтинги есть в профиле фиде. Веду канал на ютубе и обучаю людей шахматам.","Играю в шахматы с 5 лет, был чемпионом Москвы по рапиду до 18, занял 19 место в Чемпионате России по блицу среди мужчин в 2019 году, 2 место в Чемпионате Москвы по блицу до 21, 3 место на чемпионате Москвы по блицу до 18, 8 место в турнире ""С"" Москоу опен 2016, 7 место в турнире ""С"" Аэрофлот опен 2020, победитель 10 турнира Видеоблогеров. Пиковый рейтинг фиде по блицу 2504, так же я неоднократно показывал перфомансы 2500+ в живых турнирах с обсчетом рейтинга фиде и побеждал многих Мастеров и Гроссмейстеров. ","Тренирую с начала 2018 года, занимался с более 70 учениками, все они были абсолютно разного возраста и уровня игры. Со многими продолжал и продолжаю достаточно долго заниматься и добиваться поставленных целей.  Почти у всех, с кем занимался регулярно, был прогресс в понимании шахмат, уровне игры и повышение рейтинга на 100-600 пунктов lichess/Chess.com, 100+ прибавка рейтинга фиде. Отзывы учеников: ",Мои живые турниры:,None,"Занятия будут проходить по следующей схеме, первое занятие ознакомительное: знакомимся, смотрим ваши партии, типичные позиции, тактику и т.д.  Дальше уже по конкретной ситуации. В приоритете работа по программе и над вашими индивидуальными вопросами и проблемами в шахматах. На занятиях возможно изучать множество тем, тактические/стратегические, все стадии партии, разбирать партии, играть тренировочные, различные теоретические и практические приемы и другое. Материал берется на основе обучающей программы, хороших книг, партий гроссмейстеров и моего личного опыта как игрока, тренера и ученика у хороших тренеров. Программа с теоретическими материалами, практическими примерами и заданиями. Идет напрямую индивидуальная работа, поэтому ее можно подстраивать под каждого, стараюсь прислушиваться ко всем пожеланиям учеников. При должных стараниях с вашей стороны могу гарантировать повышение вашего уровня игры. Если вас заинтересовало, или есть какие-то вопросы, то можете написать мне в личные сообщения вк или на почту.",CM
FM Александр Чернявский,None,"['русский язык, English (US)']",SEA,2354.0,None,2504,None,None,"Привет! Меня зовут Александр, и я тренер по шахматам с более чем десятилетним опытом. ",Победитель чемпионата России в высшей лиге 2007; многократный призер чемпионатов России в высшей лиге;,Тренерский стаж более 10 лет. Занимаюсь с любым возрастом и любым уровнем игры.,Окончил школу с углубленным изучением английского языка. Окончил магистратуру с красным дипломом по специальности “Интеллектуальные системы”. В данный момент путешествую по Юго-Восточной Азии.,"🔹Глубоко понимаю игру, имею огромный турнирный опыт и теоретическую базу;",None,FM
FM Mihailo Djokic,None,"['English (US), Српски језик']","Belgrade, Serbia",2137.0,2699,2551,None,None,"Hello! My name is Mihailo Djokic from Serbia. I am 22 years old and have been playing chess since I was four years old, with serious training starting at the age of twelve. I use these many years of experience as my main tool for helping my students improve. Feel free to message me any time if you are interested.",I started playing chess seriously When I was 14 years old and nowadays I am trying to achieve my best and potential IM or GM title as well. ,"I have taught chess for three years and have successfully succeeded with my students. For example, one of my best students, Efi Rosenborg, went from a 1500 rating to almost 2100 in just 6 months of working with me. I have also worked with several players from the US and some have even won over-the-board tournaments in the USCF rating system. I feel immense pride and joy seeing my students make remarkable progress!","I played football for 6 years among with chess, also big fan of tennis ","1. Opening theory: (Reti, Sicilian Defence, French Defence, Kings Indian, Different gambits,            depending on your style of playing with strategy and tactical ideas)","Lesson 1: Analyze two games played against students as white and black, focusing on identifying mistakes, missing tactics, making strategic decisions, and assessing tactical calculations. See if there are better alternatives.",FM
FM Talu Mircea,I will improve your game and share with you all the knowledge I've gathered in 15 years of playing chess professionally.,"['English (US), Română']",Cluj-Napoca,None,2703,2514,2346,None,"My name is Mircea Talu, I'm a 19 year-old Fide Master (FM) with a 2337 ELO rating from Romania. I've represented my country at many international competitions and won multiple medals. I know what it takes to be a top level sportsman and I am confident that my journey has taught me a lot of things that you will greatly benefit from. In order to become a great player, I think it's very important to have someone who has been there and done that guide you. Some of my hobbies include football, computer science, maths, history, video games and formula1.",Silver Medal at the European Youth Rapid Championship,This is a new beginning for me. I did coach my little brother when we were younger and managed to get him to achieve good results.,"I am also streaming on twitch and I've commentated some online chess matches in international leagues (Romania vs Serbia, Romania vs Spain etc.) on my channel.","During my career, I've had a lot of coaches from different backgrounds and at different points in my life. I think that this helped me understand what I want from a coach and what a coach is supposed to be. In my opinion, a coach is supposed to be:","First of all, we will analyze every aspect of your game in order to find your strengths and weaknesses. Then, I will create a personalized program for you, where we will target the areas that I feel have the largest room for improvement. I am a firm believer that each stage of the game is equally important (opening, middlegame and endgame) and we will make sure that you are all set and you know what to do in each one of them. I also think that experience is very important so I will encourage you to play as much chess as possible and analyze your games. Of course, if you have a request or your own agenda, I will follow it and teach you what you desire. My goal is to develop your intuition and 'feel' for the game.",FM
GM Vladimir Malakhov,None,"['русский язык, English (US)']",None,2646.0,None,None,None,None,"Professional chess player and coach from Russia, 42 y.o. FIDE personal card link: ","GM since 1998, in top-100 for 20+ years so far.. World Team Championship 2010 winner, European Rapid Championship 2009 winner, European Individual Championship 2003 and 2009 runner-up. ",About 20 years of coaching experience with students of very different levels. FIDE Senior Trainer (awarded in 2023),None,Based on my chess experience help to improve endgame technique and middlegame understanding.,None,GM
FM Daler Vakhidov,None,['English (US)'],None,2313.0,2801,2608,2513,None,Hey there! My name is Daler and I am 21 years old FIDE Master. I have been been playing chess since I was 5 years old and train daily with my father and brother . I am a very active and dynamic player who has worked with a lot of different coaches and has coached many students as well. ,I have been playing chess for over 15 years.,"• I have over 3 years of experience working as a professional chess coach with students from all over the world, including the USA, Switzerland, Denmark, Germany, England, Singapore, and more.",During typical lesson we would consider all aspects of chess:,OPENINGS:," Before the first lesson, I will identify your level of chess and come up with a long term training plan. I will assign you homework weekly. You will be able to send me any questions or games any time and I will be trying to answer them asap. During the lessons, we will be doing many different things, it will mostly depend on your level. For every level there is an appropriate way of teaching. I have an individual training approach to every student that will help you to find the issues in your play and fix them.",FM
FM Willi Skibbe,None,"['Deutsch, English (US)']",None,None,2290,2354,None,None,"Hey,",Ich spiele seit 2019 in der Oberliga erfolgreich und  plane nach der Corona-Pandemie wieder regelmäßig Opens zu besuchen.,"Ich habe immer wieder jugendliche und Kinder trainiert, außerdem trainiere ich aktuell einen erwachsenen Mann auf meinem Kanal",None,Ich habe mehrere Landesmeister und Kaderspieler hervorgebracht.,"Es erfolgt immer eine kurze Vorbesprechung, um die Ziele zu definieren.",FM
FM Yosha Iglesias,None,"['Français, English (US)']",Paris,2300.0,2628,2724,None,None,"I'm 35 years old, and I've been a professional chess coach for 15 years!",FIDE Master ,15 years of experience as a professional coach,"I compose studies and problems, and I also work for a chess website! ","Openings: I have played many openings and have worked on many more for my students: Dragon, Pirc, Modern, Philidor, King’s Indian, Slav, Italian, Colle, London, Reti… With me, you’ll have the choice between learning an easy-to-play system or creating the foundations for a rich repertoire that can be played even at Master level.","I personalize my training according to your strengths, weaknesses, and also your tastes. ",FM
FM Никита Шандрыгин,None,"['русский язык, English (US)']",None,2323.0,2829,2623,None,None, My name is Nikita Shandrygin. I have been an active chess player and coach for many years. I offer online chess lessons to students of all levels and ages.,"В шахматы играю уже около 15 лет,за это вермя мне удалось стать многократным чемионом СКФО ,5 кратным чемпионом Ставропольского края ,и призером чемпионата России по быстрым шахматам.","Мой тренерский опыт составляет уже более 4 лет ,за это время многим моим ученикам удалось выполнить разряды и стать кандидатами в мастера спорта.С 2018 по нынешнее время через меня прошло более 50 учеников.",None,"Я считаю главным своим умением найти общий подход с учеником,и подобрать ту методику ,которая потребуется в зависимости от возраста и уровня игрока.Таким образом, получается ,что у меня нет одного готового плана ,который я использую со всеми учениками,а план я составляю индивидуально.","На своих занятиях я стараюсь максимально вовлечь в процесс ,в результате этого, занятия проходят легко и непринужденно ,но при этом дают ощутимый результат.",FM
FM Mark Rubery,None,['English (US)'],Johannesburg,2219.0,None,2357,None,None,"Hi, I am based in Johannesburg  and have been the daily  chess columnist of 'The Star' newspaper for over 25 years -syndicated in other newspapers in Pretoria, Durban and Cape Town.",Played and won numerous  tournaments around the country and three time winner of the Oude Meester Player of the Year. ,For many years privately coached some  of our top junior players.," I was co author with Darryl Accone,  of the book 'Chess Summit' Kasparov v Karpov 1986  (I believe Karpov has a copy in his library !) along with 'Springboks in Armenia' which focused on the South African team at the 1996 Olympiad.",Able to convey the essence of a position in an easy to digest way,Initially an overall assessment of the level of the student through  an examination of their games.,FM
