name,headline,languages,location,rating_fide,rating_bullet,rating_blitz,rating_rapid,rate,about,playing_experience,teaching_experience,other_experience,best_skills,teaching_methodology,titles
IM Irakli Beradze,None,['English (US)'],"Austin, Texas",2502.0,2831,2493,2694,None,"International master from Georgia. Currently living in Texas, United States. International Rating Fide: 2502  USCF: 2574","I started playing chess when I was 6 years old. Since then I became 15 times Georgian (National) Champion under different age of categories. I was Captain of the Georgian Team at the World Youth Chess Olympiad and a former member of our country’s prestigious World Chess Olympiad 2018. I played many World and European Championships, where I became Vice World Champion under 10 year boys and took 3-4 places on European Youth Championships several times. Chess accomplishments led me  to join the University of Texas Rio Grande Valley Chess team, which ranks as one of the best university chess teams in the United States. We are State champions for 3 years already.  I took 3rd place on my board in 2019 Pan-Am Intercollegiate Championship. I have 2 GM norms and I am just missing one to get my Grandmaster title. ",I have 5 year experience in coaching.  I have many talented students from all around the world. I am working with children as well as adults. ,None,My main aim is to teach students not only Basic Chess Ideas and Dogmatics but to improve their creativity and way of thinking. I think its very important in chess to be able develope your new Ideas and Individuality.,"First, I think the important part of studying chess is to find student's weaknesses and start to improve. It is very important not to make same mistakes twice.",IM
IM GORAN TRKULJA,None,"['English (US), Bosanski, Hrvatski, Српски језик']",None,2320.0,2410,2302,None,None,"Hello, I am Goran Trkulja, age 52, from Zenica (BiH). At a young age I discovered the beauty of chess which has shaped my life, past and present. The driving passion I discovered through my chess adventure was passing down my knowledge and experience to the new generations. ",Vienna State Championships 1999: ,"FIDE Trainer since 2016, active as a coach in Zenica since 2010. ",None,None,"Lessons customized to the ambition and requirements of the student that come from my experience as an active chess trainer. Working with all experience and age groups. From beginner lessons hours, to in depth variant analysis and practice games. ",IM
IM Francisco Hernandez Basante,None,['Español'],San Jose,2221.0,None,2275,None,None,MI Francisco Hernandez Basante,-5 olimpiadas ajedrez,- 20 años profesor ajedrez,FIDE TRAINER,- Análisis de fortalezas y debilidades del alumno,- Clases interactivas,IM
IM Carlos Ernesto Burgos Figueroa,None,['Español'],San Salvador,None,2445,2352,None,None,IM Carlos E. Burgos Figueroa,"Participación en 5 olimpiadas mundiales, continentales, campeón centroamericano y del caribe sub 20.",Experiencia comprobada en El Salvador y España,Participante de la primera partida a nivel mundial del novedoso AjedrezAyala en Cádiz 2011.,None,None,IM
FM Marco Zapata Ferrada,None,['Español'],None,2410.0,2532,2533,None,None,"Mi nombre es Marco Zapata Ferrada soy Entrenador de Alto rendimiento, poseo norma de IM, pero no ha sido mi prioridad debido a las ocupaciones como entrenador y profesional, he dedicado más de 15 años a la enseñanza del ajedrez a niños, jóvenes y adultos de distintos niveles. He tenido la fortuna de representar a mi país en diversos Campeonatos internacionales, mundiales individuales por equipos, Continental, Olimpiada Mercosur, al igual que he participado de Finales Absolutas.  A los 24 años en una simukltanea derroté al mítico Viktor Korchnoi, y en otras dos empates con Boris Spassky. He tenido a mi cargo a actuales IM y GM tanto masculino como femenino, estuvimos 2 años en colaboración mutua con el mejor exponente chileno de la historia GM Iván Morovic. Mi referente como entrenador es Mark D Voretsky, mi estilo de enseñanza es de procesos con metas preestablecidas de acuerdo a lo que tu como estudiante desees. Mi estilo de juego es agresivo, táctico, creativo, el ajedrez es un arte, deporte y ciencia que debe ser estudiado. Puedes además agregarte a mi canal de Youtube: ",Campeonato Mundial Juvenil sub 20 ,Entrenador del Campeón Panamericano 2006 y norma de IM Mauricio Flores,Relator Seminario Internacional de Ajedrez en las Escuelas con representantes de Estados Unidos y Argentina 2010.,"Soy un maestro empatico, me encanta enseñar, y espero que mis estudiantes logren sus metas, disfruten el ajedrez, y poder transmitir todo lo aprendido a través de la práctica y el estudio. Siempre se aprende y ha sido sin lugar a dudas la mejor opción que pude haber tomado. El resto de los títulos profesionales quedan para cuando se necesite, pero es preferible hacer lo que realmente te apasiona.","Las clases son integrales es decir vemos en primera instancia partidas modelo que permitan ir avanzando en diversos temas muy rápidamente, pero a través de un aprendizaje significativo. Los estudiantes deben resolver ciertas temáticas de acuerdo a su nivel para la siguiente sesión. Es importante el hecho de ver partidas propias de los estudiantes para vislumbrar su estilo y la posible preparación teórica que se haga necesaria, el estudio de las diversas facetas del juego apertura, medio juego, y finales permite ir equilibrando conocimientos adquiridos previamente o bien conocer desde lo básico a lo más avanzado. La duración de las clases dependerá de la necesidad de cada estudiante desde un sub 8 hasta un adulto. La conversación franca a través de las sesiones permite que exista un apoyo además en el desarrollo personal de cada uno, un feedback que permita avanzar más efectivamente a lo que se pretenda. El ajedrez debe ser aprendido si bien profesionalmente, esto no exime de ser lúdico y cercano para potenciar cada una de las virtudes. ""Dedicado a mis padres Leonidas y Amada"".",FM
WGM Ana Benderac,None,"['Српски језик, English (US)']",None,None,2233,None,None,None, Longtime Serbian national team player. Senior and Cadet Team Selector.  Many years of work with children and adults. Contact me at anabenderac@gmail.com,35 years of playing,Fide Coach License. Chess school in my place for the last 15 years.,None,None,None,WGM
WFM Ariadna Ojeda,None,['Español'],None,None,2108,2156,None,None,Me llamo Ariadna Ojeda Lago. Tengo 25 años y soy cubana. Soy Maestra Fide(WFM) y Licenciada en Cultura Física y Recreación. También soy entrenadora y jugadora activa de ajedrez.,"Juego al ajedrez desde los 8 años. He participado en diferentes campeonatos nacionales de diferentes categorías   resultando multimedallista. También he jugado diversos torneos internacionales como Capablanca y Carlos Torre en disímiles ediciones. En 2019 participé del fuerte circuito catalán en España,enfrentando a jugadores de la talla de Víctor Moskalenko. Soy Maestra Fide.","Llevo 5 años como entrenadora de ajedrez ayudando a la formación de atletas de distintas edades. He formado parte de bases de entrenamiento junto a los IM Heriberto Díaz Hernández, IM Abel Fabián López, IM Dylan Berdayes",None,None,Para cada atleta existe un plan especializado basado en sus requerimientos de aprendizaje. Se realizarán estudios de sus partidas para analizar debilidades y fortalezas. Desarrollo de la visión táctica y estratégica. Conformación o mejora del repertorio de aperturas. Las clases se caracterizarán por la versatilidad,WFM
GM Anna Ushenina,None,['русский язык'],None,None,None,2415,None,None,"14th World Women Champion, European Champion 2016",Member of national team,Sport teacher,None,None,None,GM
CM Aparajita Gochhikar,None,"['English (US), हिन्दी, हिंदी']",None,1995.0,None,None,None,None,"I am CM Aparajita Gochhikar, FIDE Instructor from India,  a seasoned chess enthusiast with a passion for strategic thinking and a track record that speaks volumes. I have won medals three times in Commonwealth Chess, Silver medal in World Amateur Chess Championship. Also I had been coach of Indian Cadets and Junior Chess Team Three times for World Cadets, Asian Youth and Junior Chess Championship. ","As a player, I have won medals three times in Commonwealth Chess, Silver medal in World Amateur Chess Championship, Bronze medal in Asian Amateur Chess Championship. ","I had been coach of Indian Cadets and Junior Chess Team Three times for World Cadets, Asian Youth and Junior Chess Championship. ",I was also working as Fair Play Expert in FIDE Chess Olympiad 2022 at Chennai and World Youth Chess Championship 2023 at Italy. ,None,"My teaching methodology for chess revolves around a structured yet flexible approach. It starts with assessing individual skill levels and goals, ensuring a strong foundation in the basics. I emphasize openings, tactics, and endgame principles, guiding students through practical play and regular game analysis. By fostering a positive mindset and adaptability, I encourage students to learn through both success and losses, always with an eye on long-term progress. I aim to make learning enjoyable and inject creativity into their play, staying updated with the latest chess developments to provide a well-rounded education. Ultimately, my goal is to help students not only excel in chess but also develop a lifelong passion for this beautiful game.",CM
IM Amirmohammad Soozankar,None,"['English (US), فارسی']",Rasht,None,2774,2507,None,None,"Hello, dear chess friends!",None,"I use an individual approach to each student, show my students the beauty of chess and try to find their interest and work with inspiration, so I create my lessons with humor and make them useful and interesting for my students.",None,Opening     Endgame     Middle Game Strategies ,"I use an individual approach to each student, show my students the beauty of chess and try to find their interest and work with inspiration, so I create my lessons with humor and make them useful and interesting for my students.",IM
WFM Marigje Degrande,None,"['English (US), Nederlands']",Marepant#3858,None,2307,2302,None,None,"Hi, I am Marigje Degrande, but please call me Marepant!",None,"Do you have a specific topic in mind that you would like to work on? I would also go over your games and see which areas could be improved on. I am personally not the biggest opening fan, I prefer to focus on tactics, positional play in the middle game (learn how to make use of squares, for example) and working on endgames. If you are confident in your knowledge that a certain endgame will be in your favor, you’ll play the middle game with more confidence.",None,None,"Do you have a specific topic in mind that you would like to work on? I would also go over your games and see which areas could be improved on. I am personally not the biggest opening fan, I prefer to focus on tactics, positional play in the middle game (learn how to make use of squares, for example) and working on endgames. If you are confident in your knowledge that a certain endgame will be in your favor, you’ll play the middle game with more confidence.",WFM
NM Leandro Custódio,None,['Português'],Marília / SP,1964.0,2075,2081,None,None,"MN (Mestre Nacional) Leandro Custódio, 32 anos, atuo com o xadrez na cidade de Marília/SP a mais de 12 anos. ","Já disputei mais de 100 torneios de xadrez em minha carreira, com destaque para:","* Professor de Xadrez a 16 anos, atuando em escolas, clubes, faculdades, projetos sociais e empresas privadas. ",Atualmente dou aulas particulares on-line através desta plataforma pelo Clube da Mente e aulas presenciais na escola Maple Bear-Marília. ,"Capacidade para formar, treinar e liderar equipes para competições a níveis regionais.",Temos como base o plano de ensino que segue o tempo que cada aluno disponibiliza para o xadrez.,NM
FM Jakub Filipek,None,"['Polski, Español, English (US)']",Cracow,2372.0,None,2328,None,None,"I live in Cracow, Poland. I teach English and chess. I am forty years old and apart from chess and languages like reading, writing, meeting with friends, spending time in nature.  ","I am a Fide Master (2372 elo) and was in 1996 a Polish junior champion under 18. I am also a national chess master (Polish title). I have played chess intensely for about 15 years. I became in about 2003 senior Flemish champion (that time I lived in Belgium). Last ten years or so I have less contact with chess since I have been working as an English teacher. However sometimes I do play blitz on lichess or with my friends. I play with white e4, Ruy Lopez, with black Kings-Indian after d4 and Sicilian Defence after e4. My style is rather tactical and dynamic. My favorite players are: Kasparov, Fisher, Shirov, Tal, Bronstain, Topalov. ","Since about last year I teach one student chess. However I have a lot of experience as an English teacher. I tought kids, youth and adults. I belive it is most important to analyse your games and to have a proper playing practice.",None,None,None,FM
CM Milos Krstic,None,['English (US)'],Belgrade,2200.0,None,2453,None,None,"Hello, my name is Milos Krstic and I am from Serbia. I am 22 years old student at the Faculty of Economics, and I have been playing chess since i was six. I am looking forward to share my chess knowledge and experience with some of you. I am looking for students who want to absorb this knowledge and progress in chess. If you are interested write me mail. My adress is miloskrstich@gmail.com","My biggest achievements are several medals from Serbian Cadet Championships in Standard, Rapid and Blitz chess. I played in 2018 World Youth Chess Championship U18 in Porto Carras, Greece. My rating is currently 2173 and I am Candidate Master.","Working with several pupils from Serbia and Australia who managed to fix some of their weaknesses, progress in chess and win medals.",None,"If you choose me, you can expect:",Fixing and improving your play with the most efficient examples,CM
IM Yuliia Osmak,"""Chess is a game by its form, an art by its content and a science by the difficulty of gaining mastery in it"". Tigran Petrosian  ","['русский язык, українська, English (US), Français']",Chartres,2451.0,None,2454,None,None,"I am Osmak Yuliia, top 19 woman in the world!",20 years,10 years.,Chess streamer and commentator:  ,Olympic champion (2022);,Learn to play strategical and solid chess :),IM
FM Jesús David Cazulo Ramirez,None,"['Español, English (US), Français, русский язык, Português, Deutsch']",Santiago de Cuba,None,2410,2328,None,None,"Me llamo Jesús David Cazulo Ramirez y naci en Cuba,tube un ascenso a la maestría muy rápido,de 1900 a 2300 en 3 torneos ",Llevo desde los ocho años jugando ajedrez he participado en todas las competencias realizadas tanto nacionales como internacionales en mi país,Llevo tres años de profesor de ajedrez ,"He dado conferencias de clases de ajedrez de posiciones,aperturas etc,he jugado torneos de normas internacionales,soy MF.","En habilidades me defiendo bien en todas  las modalidades de juego , en el medio juego en la creación de planes y en estrategia",Me prepare en la universidad para tener buena metodología a la hora de impartir mis clases .,FM
IM Keaton Kiewra,None,['English (US)'],CA,None,None,None,None,None,35 year old IM from California. Full time professional chess coach since 2009. ,2 GM norms. 9 time Nebraska sate champion and 6 time national scholastic champion in my youth. 2016 Southern California co-champion. I've played tournaments all over USA and Europe from major opens like Reykjavik and Isle of Man to invitational round robin events. ,"I've been a full time professional coach since 2009. I've coached a wide range of students from masters to beginners. Several of my students have won state and national scholastic titles. I have helped countless students to unlock their potential, achieve their goals, and learn to enjoy the process. I have also helped and trained with several prodigies who have become IMs and GMs: (list here: ",Founder and manager of the San Diego Surfers PRO Chess League Team. ,"Forming a connection with each student, figuring out what is holding them back from reaching the next level, helping them develop a plan to transcend their obstacles and reach their goals. ","I start by getting to know each student on an individual level and as a chess player. This can be by analyzing games they've played or by sparring with them. Once I get to know a student as a chess player and what they need in order to break through to the next level, I help them come up with a plan and offer training and instruction where it's most needed. This of course varies greatly depending upon a student's level but my instruction runs the entire gamut from opening work, calculation, endgame ability, tactical training, strategic understanding, etc...",IM
CM Dariusz Bieliński,None,['Polski'],None,None,2366,2312,None,None,Dariusz Bieliński,Grałem wielokrotnie we wszystkich polskich ligach od 2 do ekstraklasy. Byłem mistrzem Europy w szachach szybkich do 2300 elo we Wrocławiu. Najwyższa wygrana z Robertem Rabiegą 2595 Elo.,"Jestem instruktorem szachowym. Pracowałem w klubie, szkołach i przedszkolach. Niektórzy moi uczniowie grali w mistrzostwach Polski juniorów.","Lubię psychologię, różne dziedziny dotyczące zdrowia i sportu, co przekładam też na szachy.",Jestem wszechstronny w nauczaniu. Mam bogatą bibliotekę literatury.,Zajęcia prowadzę przez google meet. Link przesyłam na maila i działamy  😉 ,CM
FM Shreyas Smith,"Are you tired of those bad results?, Has your rating not been going up? If the answer is yes don't worry! I have been there and I can help you passed it",['English (US)'],None,2232.0,None,None,None,None,I invite you to embark on this wonderful journey of chess improvement with me using my 9 years of coaching experience that has produced age group champions and also helped players to gain the master title.,I have been playing chess for more than a decade and more than half of my life ,-I have coached at several local secondary schools and have done chess in their curriculum,I have been a chess commentator on a new Youtube channel ,I am very patient with my students and take the time to focus on their long term development., I get you to path of mastery in different steps:,FM
CM Juan Pedro CORDON GUTIERREZ,None,"['Español, English (US)']",None,2233.0,2406,2500,None,None,Juan Pedro CORDON GUTIERREZ ,CAMPEONATO DE ANDALUCÍA DE AJEDREZ RELÁMPAGO - Subcampeón /ANDALUCIAN BLITZ CHAMPIONSHIP - Runner-up  2019,"Tengo más de 25 años de experiencia enseñando Ajedrez. Alumnos/as en Canadá, Bégica, Gibraltar, Reino Unido y España /",I also teach at ,"Solid fundamentals, key concepts to allow anyone to improve very fast.","Every student is different so,",CM
CM prettyScream,None,"['русский язык, українська, English (US)']",None,2274.0,2728,2502,2511,None,I am from Ukraine. I won Ukranian championship among juniors and was the champion of my hometown Odessa.,"I have been playing chess since I was 6 years old. Now I am 19, and have a lot of experience and want to share it with somebody.",I have started to teach other people 2 years ago. From this time I have had more than 10 students from different countries.,None,I am good at blitz too. I can teach you how to play in blitz well and some psychological tricks.,"All players who playing chess should know  endgame, have a sharp mind and have pleasure of playing chess)",CM
GM arian gholami,None,"['English (US), فارسی']",None,2530.0,2725,2480,None,None,"I am GM Aryan Gholami From Iran and my rating is 2513, My best rating is 2554 and i have 19 years old I start chess when I was 6 years old and I got a lot of medals in World and Asian Youth chess champion ships From under 8 to under 18 and I am a Member of Iranian National Chess Team since 2015 and I played in Olympiad and Asian nations and I  got alot of medals with Iranian national team .",I won gold medal of under 8 chess youth championship Turkey 2009,I started Teaching since 2020 ,None,None,None,GM
FM Alexis Vargas Arteaga,None,"['Español, English (US)']",Bucaramanga,2256.0,2533,2625,None,None,"MF Alexis Vargas Arteaga, Ajedrecista desde mis 15 años de edad, realmente soy un apasionado por el juego cienca. También soy desarrollador de software pero lo cierto es que cada día lanzo una moneda al aire y dependiendo la cara que caiga me pongo a programar o a jugar ajedrez pues ambas me gustan demasiado. Cuando me preguntan cuál es el mejor ajedrecísta de la historia, en la respuesta no hay debate (Gary Kasparov!!!) Creo que muchos otros han tenido o tienen demasiado talento pero el mejor, creería que se saca por la capacidad de mantenerse en el trono durante el máximo tiempo posible, y es que lo dice la sabia frase ""No es sólo llegar sino mantenerse..."".",PARTICIPACIONES REGIONALES,"Me dedico a la enseñanza via internet hace varios años de todo el mundo (incluyendo mi pais), lo cual me ha permitido indagar en este mundo junto con una buena pedagogía de enseñanza, porque aunque tenemos todas las herramientas disponibles hoy dia, muchas veces no se aplica de la manera correcta y es ahí donde radica el secreto de la ""enseñanza"", es decir siempre predominará la ""calidad"" sobre la cantidad.",None,None,"El objetivo general del plan es detectar nuestras falencias en el juego, tanto a nivel técnico se refiere como a nivel sicológico; Para luego entonces empezar a trabajar sobre estos aspectos que perjudican nuestro rendimiento deportivo.",FM
IM Dejan Maksimovic,"Improve your chess like never before.I teach, Unique,Fast and efficient proven techniques!My students achieved extreme success, winning of trophy's ,USA and Fide titles!","['Српски језик, Italiano, English (US)']","Chicago, IL, United States",2441.0,None,2575,None,None,"1: I am IM Dejan ""Max"" Maksimovic and I live in Chicago area. 2: I am come from the strongest chess country in the world-SERBIA!!!!!!!! 3: I teach in schools and have a lot'of private students who are the TOP PLAYERS IN THE U.S 4: I am available for private, group and school lessons, ICC -lesson and over the phone 5: If you want to achieve the highest level in CHESS-contact me!!!! 6: Please visit and read my Website: www.maxchampionsacademy.com 7.Please join my club at lichess :",Please visit  and read my website and you will be able to see all my achievements: www.maxchampionsacademy.com,Please visit  and read my website and you will be able to see all my achievements: www.maxchampionsacademy.com,None,None,None,IM
WFM Mariam Janiashvili,None,"['English (US), ქართული, русский язык']",None,2012.0,2378,2140,None,None,"Hello I am  Mariam Janiashvili(WFM)-Woman FIDE Master from Georgia.  I'm an active professional chess player. I've been playing chess for 11 years. Now, I'm working as a chess coach.",I am Georgian G18 Champion and prize winner  many times. I was member of Georgian Olympic Team(2018 Batumi Chess Olympiad). I am a winner of many international tournaments.,I am working as chess teacher on great sites like Fiverr and Upwork.,None,"I think I am a friendly teacher ,Also an active  chess player and I can very quickly find your weak point in chess and fix it. I love my job and I want to teach you all good chess skills."," My teaching methodology covers every aspect of chess ,It will be  calculation techniques, basic strategy and theoretical endgame, opening preparation, puzzles,(which will be customize for your knowledge ). I will teach my students ""The Golden Rules Of Chess"" and how to think correctly in chess",WFM
FM Fernando López Gracia,None,['Español'],Zaragoza,2299.0,None,None,None,None,"Hola, nací en Zaragoza (España) en 1972 y llevo más de 20 años combinando la práctica del ajedrez competitivo con la enseñanza a todos los niveles y edades, tanto en colegios como en clubes. Actualmente milito en el Club Ibercaja de Zaragoza","Mi experiencia competitiva no es tan amplia como hubiese deseado pero aún así he participado en varios torneos internacionales, principalmente en España, aunque también jugué durante una temporada en la Liga Francesa. ","Mi experiencia como monitor de Ajedrez abarca la enseñanza a niños en colegios y distintos clubes, desde hace más de 20 años.",Tras obtener el Máster en Educación Secundaria estuve ejerciendo un año de profesor de matemáticas en distintos Centros de la Comunidad de Aragón.,Posiblemente mi mejor cualidad es la paciencia y la capacidad de detectar los errores ¡Los he cometido todos!,"Las lecciones consisten en estudiar un cuadro posicional (o tema) a lo largo de 2 o tres sesiones de hora y media (aprox.). Sobre todo temas de medio juego, historia del ajedrez, etc.",FM
CM Sandro Mikanovic,None,"['English (US), Hrvatski, Српски језик, Bosanski']",Brčko distrikt,2281.0,None,None,None,None,"I'm Candidate Master Sandro Marko Mikanović from Bosnia, born 1988.Four time Country Champion! My FIDE Elo is 2250. Have a lot chess experience and great skill of teaching chess. I have my own Chess Club ""Velemajstor"" which means (Grandmaster) and have around 50 students which some of them are Country Champions. Many of my students are qualified and compete to the World and European Chess championship with a decent results! ",None,I have been coaching since past 10 years and below is a brief summary of some of my students achievements:,FIDE Trainer.,None,"At the beginning of each training chapter I analyze the knowledge of my student in a certain field. My primary goals are to study the games of my student and to identify his/her mistakes and weaknesses in earlier games. Then after, I jointly make a teaching plan together with each of my students with the aim to correct these weaknesses. By problem solving I evaluate if my student has accepted the given instructions. Finally we proceed to the basic plans and ideas in the future openings that will be implemented by my students.",CM
CM Halit Kaan Kesgin,None,"['Türkçe, English (US)']",None,None,2619,2426,None,None,"Hello everyone I am Candidate Master Halit Kaan Kesgin from Turkey.I've been playing chess for 13 years.I have been coaching for the last two years.I have worked with more than 100 students.If you want to develop quickly, you are in the right place.",None,"I have been giving chess lessons for the last two years.During the lesson, my students communicate with me very easily. They also contribute to their development with the exercises I give after the lesson.I currently work in a club I love giving chess lessons",None,"Calculating precisely,",Simple and effectively,CM
CM Gumersindo Fernandez Garcia,None,"['Español, English (US)']",Burgos,2150.0,2607,2387,None,None,Hola a todos! Soy el CM Gumersindo Fernández y actualmente tengo 20 años. ,"Más de 12 años jugando torneos de todos los tipos y ritmos de juego. Desde torneos escolares, campeonatos autonómicos, campeonatos nacionales como torneos internacionales. He ganado entre otros, el prestigioso torneo de rápidas de Pielagos, el torneo Judit Polgar (en dos ocasiones), el camponato de Castilla y León por edades, el campeonato de Burgos Absoluto, entre otros muchos. Soy el actual campeón de Castilla y León a nivel absoluto en todos los ritmos de juego(lento,rápido y blitz).","Como entrenador, puedo decir que he conseguido grandes resultados entre mis alumnos. Algunos de ellos han conseguido ganar campeonatos importantes y todos ellos han conseguido mejorar su ajedrez, y por supuesto subir bastante elo. El caso más reseñable es de un alumno que ha conseguido pasar de 1300 a 2000 de elo en solo un año. ","Tengo un canal de Youtube con más de 10 mil suscriptores, y una cuenta de instagram con más de 75 mil seguidores. En ambas el nombre es AjedrezInteligente y ahí podéis encontrar mucha información sobre mí y sobre mis métodos de dar clase. ",None,"Mi método consiste en estructurar bien el entrenamiento, buscando mejorar a través del análisis de los errores en las partidas y creando un hábito de entrenamiento personal para conseguir resultados. Hay muchos otros detalles que me reservo para los alumnos. ",CM
